债券代码_简称_申购代码,发行规模（亿元）,正股代码_简称,正股价_转股价,转股价值,债现价,转股溢价率,中签号发布日_中签率%,上市日期
113513_安井转债_754345,5,603345_安井食品,-_35.46,0,0,0%,2018-07-16_0.11499054,2018-07-31
113512_景旺转债_754228,9.78,603228_景旺电子,-_50.01,0,0,0%,2018-07-10_0.2089026,2018-07-24
123010_博世转债_370422,4.3,300422_博世科,12.36_14.3,99.8384,118.999,19.19%,2018-07-09_0.31546365,2018-08-14
127007_湖广转债_070665,17.33592,000665_湖北广电,7.08_10.16,126.2032,127.3,0.87%,2018-07-02_0.6055935,2018-08-01
110044_广电转债_733831,8,600831_广电网络,10.41_6.91,150.8696,150,-0.58%,2018-06-29_0.33996425,2018-07-24
113511_千禾转债_754027,3.56,603027_千禾味业,22.02_25.86,120.2622,130.3,8.35%,2018-06-22_0.14273811,2018-07-10
113510_再升转债_754601,1.14,603601_再升科技,10.38_11.32,120.8382,129.73,7.36%,2018-06-21_0.06305227,2018-07-13
128040_华通转债_072758,2.24,002758_华通医药,10.48_11.45,92.1724,113,22.6%,2018-06-19_0.0430924584,2018-07-13
128039_三力转债_072224,6.2,002224_三力士,7.5_7.38,128.6449,129.289,0.5%,2018-06-12_0.1334178334,2018-06-29
113509_新泉转债_754179,4.5,603179_新泉股份,23.51_25.34,124.4574,140.06,12.54%,2018-06-06_0.03063662,2018-06-22
113508_新凤转债_754225,21.53,603225_新凤鸣,11.31_23.74,71.0874,108.18,52.18%,2018-05-02_0.23361055,2018-05-16
113507_天马转债_754668,3.05,603668_天马科技,-_11.04,0,0,0%,2018-04-19_0.0297476,2018-05-07
113506_鼎信转债_754421,6,603421_鼎信通讯,-_21.86,0,0,0%,2018-04-18_0.0720467,2018-05-14
128038_利欧转债_072131,21.975475,002131_利欧股份,3.8_2.76,220.9302,220.6,-0.15%,2018-03-26_0.2701763885,2018-04-19
128037_岩土转债_072542,6.0366,002542_中化岩土,3.87_8.05,48.3146,103.996,115.25%,2018-03-19_0.0901341006,2018-04-25
127006_敖东转债_070623,24.13,000623_吉林敖东,16.49_21.12,79.9709,112.28,40.4%,2018-03-15_0.1237646368,2018-05-11
127005_长证转债_070783,50,000783_长江证券,6.8_7.6,91.5209,118.901,29.92%,2018-03-14_0.1239858672,2018-04-11
128036_金农转债_072548,6.5,002548_金新农,8.82_9.72,91.684,117.8,28.48%,2018-03-13_0.0497315872,2018-04-02
123009_星源转债_370568,4.8,300568_星源材质,41.03_27.99,154.0165,152.716,-0.84%,2018-03-09_0.040900838,2018-04-10
113505_杭电转债_754618,7.8,603618_杭电股份,5.14_7.29,70.9945,104.68,47.45%,2018-03-08_0.08433624,2018-03-27
113504_艾华转债_754989,6.91,603989_艾华集团,29.21_36.59,136.3042,144,5.65%,2018-03-06_0.02186045,2018-03-23
113019_玲珑转债_783966,20,601966_玲珑轮胎,23.99_19.1,129.3261,138.35,6.98%,2018-03-05_0.2118095,2018-03-22
128035_大族转债_072008,23,002008_大族激光,40.6_52.7,77.6291,120.3,54.97%,2018-02-08_0.1958289975,2018-03-05
123008_康泰转债_370601,3.56,300601_康泰生物,-_47.01,0,0,0%,2018-02-05_0.0258361808,2018-03-19
110043_无锡转债_733908,30,600908_无锡银行,5.19_8.9,79.6012,109.63,37.72%,2018-02-01_0.18813428,2018-03-14
128034_江银转债_072807,20,002807_江阴银行,4.29_9.16,91.6667,112.35,22.56%,2018-01-30_0.1388860765,2018-02-14
113018_常熟转债_783128,30,601128_常熟银行,-_7.61,0,0,0%,2018-01-23_0.19235421,2018-02-06
123007_道氏转债_370409,4.8,300409_道氏技术,15.28_45.21,101.5282,120.3,18.49%,2018-01-02_0.0718270362,2018-01-26
113017_吉视转债_783929,15.6,601929_吉视传媒,2.09_2.98,70.8475,104.91,48.08%,2017-12-29_0.39953747,2018-01-15
128033_迪龙转债_072658,5.2,002658_雪迪龙,6.61_13.35,74.0202,106,43.2%,2017-12-29_0.0386994433,2018-01-29
128032_双环转债_072472,10,002472_双环传动,5.33_10.07,53.6757,103.29,92.43%,2017-12-27_0.0824623999,2018-01-25
110042_航电转债_733372,24,600372_中航电子,15.19_14.29,107.1227,124.92,16.61%,2017-12-27_0.19683703,2018-01-15
128030_天康转债_072100,10,002100_天康生物,12.95_8.25,160.8696,172.6,7.29%,2017-12-26_0.061818344,2018-01-29
110041_蒙电转债_733863,18.7522,600863_内蒙华电,2.6_2.95,92.1986,115.6,25.38%,2017-12-26_0.26659535,2018-01-09
128029_太阳转债_072078,12,002078_太阳纸业,9.31_8.85,107.6301,133.566,24.1%,2017-12-26_0.0430740717,2018-01-16
128028_赣锋转债_072460,9.28,002460_赣锋锂业,59.5_71.89,140.7285,157.025,11.58%,2017-12-25_0.0612867536,2018-01-19
123006_东财转债_370059,46.5,300059_东方财富,-_13.69,0,0,0%,2017-12-22_0.4036125764,2018-01-29
123005_万信转债_370168,9,300168_万达信息,-_13.11,0,0,0%,2017-12-21_0.0806532888,2018-01-30
123004_铁汉转债_370197,11,300197_铁汉生态,2.72_12.39,68.3417,102.4,49.84%,2017-12-20_0.0594310767,2018-01-26
113503_泰晶转债_754738,2.15,603738_泰晶科技,33.66_25.41,188.0447,201.5,7.16%,2017-12-19_0.00934887,2018-01-02
128027_崇达转债_072815,8,002815_崇达技术,-_30.93,0,0,0%,2017-12-19_0.0186920436,2018-01-22
128026_众兴转债_072772,9.2,002772_众兴菌业,7.07_11.74,61.2652,99.093,61.74%,2017-12-15_0.0562980296,2018-01-03
123003_蓝思转债_370433,48,300433_蓝思科技,-_36.59,0,0,0%,2017-12-12_0.330406672,2018-01-17
128025_特一转债_072728,3.54,002728_特一药业,16.75_20.2,108.4142,117.218,8.12%,2017-12-08_0.0053821036,2017-12-28
128024_宁行转债_072142,100,002142_宁波银行,-_18.45,0,0,0%,2017-12-07_0.0522117418,2018-01-12
128023_亚太转债_072284,10,002284_亚太股份,4.93_10.44,47.6789,100.019,109.78%,2017-12-06_0.0245376003,2017-12-26
128022_众信转债_072707,7,002707_众信旅游,5.7_11.12,72.0607,108.379,50.4%,2017-12-05_0.0033737505,2017-12-28
128021_兄弟转债_072562,7,002562_兄弟科技,5.71_18.17,108.7619,128.4,18.06%,2017-11-30_0.0013344475,2017-12-27
110040_生益转债_733183,18,600183_生益科技,-_17.34,0,0,0%,2017-11-28_0.00565852,2017-12-11
123002_国祯转债_370388,5.97,300388_国祯环保,11.16_21.04,129.7674,136.211,4.97%,2017-11-28_0.0038855802,2017-12-25
110039_宝信转债_733845,16,600845_宝信软件,-_18.46,0,0,0%,2017-11-21_0.00788728,2017-12-05
128020_水晶转债_072273,11.8,002273_水晶光电,-_29.9,0,0,0%,2017-11-21_0.0044256667,2017-12-12
110038_济川转债_733566,8.4316,600566_济川药业,24.75_41.04,63.7722,118.01,85.05%,2017-11-15_0.01157125,2017-11-29
113502_嘉澳转债_754822,1.85,603822_嘉澳环保,25.46_45.48,56.5275,103.19,82.55%,2017-11-14_0.00137415,2017-11-27
128019_久立转2_072318,10.4,002318_久立特材,9.07_8.37,114.5202,127.694,11.5%,2017-11-10_0.0050797097,2017-12-01
113016_小康转债_783127,15,601127_小康股份,9.63_23.0,56.25,100.86,79.31%,2017-11-08_0.00291446,2017-11-21
128018_时达转债_072527,8.825057,002527_新时达,6.31_11.9,84.698,114.004,34.6%,2017-11-08_0.0040705857,2017-12-04
113015_隆基转债_783012,28,601012_隆基股份,-_32.35,0,0,0%,2017-11-06_0.00908429,2017-11-20
128017_金禾转债_072597,6,002597_金禾实业,23.74_23.92,103.3972,125.881,21.75%,2017-11-03_0.001272845,2017-11-27
113014_林洋转债_783222,30,601222_林洋能源,5.45_8.8,63.4459,108.77,71.44%,2017-10-31_0.00294586,2017-11-13
128016_雨虹转债_072271,18.4,002271_东方雨虹,29.46_38.48,131.5179,146,11.01%,2017-09-27_0.0013187948,2017-10-20
113013_国君转债_783211,70,601211_国泰君安,17.81_20.2,91.8041,123.63,34.67%,2017-07-13_0.0809703908,2017-07-24
128015_久其转债_072279,7.8,002279_久其软件,7.73_12.97,81.5401,113.27,38.91%,2017-06-14_2.3814174467,2017-06-27
127004_模塑转债_070700,8.1366,000700_模塑科技,14.6_8.0,192.3584,198.69,3.29%,2017-06-08_0.508641,2017-06-26
128014_永东转债_072753,3.4,002753_永东股份,7.18_30.77,56.8038,104.04,83.16%,2017-04-21_1.322866,2017-05-12
113012_骆驼转债_783311,7.17,601311_骆驼股份,10.03_16.78,75.4703,112,48.4%,2017-03-30_0.15814823,2017-04-13
113011_光大转债_783818,300,601818_光大银行,3.92_4.36,98.7406,121.76,23.31%,2017-03-23_0.4999251,2017-04-05
128013_洪涛转债_072325,12,002325_洪涛股份,3.21_10.28,40.125,100.965,151.63%,2016-08-04_0.35024,2016-08-23
127003_海印转债_070861,11.11,000861_海印股份,2.17_5.26,72.093,105.4,46.2%,2016-06-16_0.099788,2016-07-01
128012_辉丰转债_072496,8.45,002496_辉丰股份,2.69_29.7,34.8898,99.09,184.01%,2016-04-27_0.9877089047,2016-05-17
113010_江南转债_783199,7.6,601199_江南水务,-_19.0,0,0,0%,2016-03-24_0.11007853,2016-04-05
128011_汽模转债_072510,4.2,002510_天汽模,-_11.63,0,0,0%,2016-03-08_0.2163201617,2016-03-24
110035_白云转债_733004,35,600004_白云机场,-_12.88,0,0,0%,2016-03-03_0.08414922,2016-03-15
128010_顺昌转债_072245,5.1,002245_澳洋顺昌,5.15_9.44,55.6156,111.52,100.52%,2016-01-28_0.637541,2016-02-23
113009_广汽转债_783238,41.0558,601238_广汽集团,11.13_21.99,77.238,116.59,50.95%,2016-01-28_0.24689559,2016-02-04
110034_九州转债_733998,15,600998_九州通,16.29_18.78,88.9192,117.32,31.94%,2016-01-21_0.10112394,2016-01-29
110033_国贸转债_733755,28,600755_厦门国贸,6.94_9.03,93.531,115.6,23.6%,2016-01-11_0.1081244,2016-01-19
110032_三一转债_733031,45,600031_三一重工,-_7.5,0,0,0%,2016-01-08_0.36890926,2016-01-18
123001_蓝标转债_370058,14,300058_蓝色光标,-_15.3,0,0,0%,2015-12-24_0.058213,2016-01-08
110031_航信转债_733271,24,600271_航天信息,23.46_86.61,107.6641,129.01,19.83%,2015-06-18_0.0322132,2015-06-30
113008_电气转债_783727,60,601727_上海电气,4.73_10.72,92.2027,113.99,23.63%,2015-02-06_0.28416309847,2015-02-16
110030_格力转债_733185,9.8,600185_格力地产,-_20.9,0,0,0%,2014-12-31_0.2847346,2015-01-13
128009_歌尔转债_072241,25,002241_歌尔股份,-_26.43,0,0,0%,2014-12-18_0.119658,2014-12-26
113501_洛钼转债_754993,49,603993_洛阳钼业,-_8.78,0,0,0%,2014-12-08_0.32164493,2014-12-16
110029_浙能转债_733023,100,600023_浙能电力,-_5.66,0,0,0%,2014-10-17_0.86151118,2014-10-28
128008_齐峰转债_072521,7.6,002521_齐峰新材,-_10.2,0,0,0%,2014-09-19_0.219432,2014-10-10
113007_吉视转债_783929,17,601929_吉视传媒,-_12.08,0,0,0%,2014-09-12_0.16027924,2014-09-25
128007_通鼎转债_072491,6,002491_通鼎互联,-_17.5,0,0,0%,2014-08-21_0.221326,2014-09-05
110028_冠城转债_733067,18,600067_冠城大通,-_6.2,0,0,0%,2014-07-24_0.63246803,2014-08-01
110027_东方转债_733875,40,600875_东方电气,-_12.0,0,0,0%,2014-07-16_1.27810498,2014-07-25
128006_长青转债_072391,6.3176,002391_长青股份,-_13.48,0,0,0%,2014-06-26_1.958002,2014-07-09
110025_国金转债_733109,25,600109_国金证券,-_19.97,0,0,0%,2014-05-20_1.13354136,2014-06-03
128005_齐翔转债_072408,12.4,002408_齐翔腾达,-_14.34,0,0,0%,2014-04-24_0.380908,2014-05-13
128004_久立转债_072318,4.87,002318_久立特材,-_19.96,0,0,0%,2014-03-03_2.7896911976,2014-03-14
113006_深燃转债_783139,16,601139_深圳燃气,-_8.46,0,0,0%,2013-12-19_0.58749396,2013-12-27
113005_平安转债_783318,260,601318_中国平安,-_41.33,0,0,0%,2013-11-28_3.41767462,2013-12-09
127002_徐工转债_070425,25,000425_徐工机械,-_8.46,0,0,0%,2013-10-31_3.048575,2013-11-15
110024_隧道转债_733820,26,600820_隧道股份,-_9.71,0,0,0%,2013-09-23_0.99924365,2013-09-30
128003_华天转债_072185,4.61,002185_华天科技,-_9.79,0,0,0%,2013-08-16_1.6848595662,2013-08-28
128002_东华转债_072065,10,002065_东华软件,-_23.7,0,0,0%,2013-08-01_0.067268,2013-08-19
110023_民生转债_733016,200,600016_民生银行,-_10.23,0,0,0%,2013-03-21_0.36815827,2013-03-29
128001_泰尔转债_072347,3.2,002347_泰尔股份,-_15.34,0,0,0%,2013-01-15_2.3282201555,2013-01-28
127001_海直转债_070099,6.5,000099_中信海直,-_7.1,0,0,0%,2012-12-25_0.823505,2013-01-07
110022_同仁转债_733085,12.05,600085_同仁堂,-_17.72,0,0,0%,2012-12-10_0.77846936,2012-12-18
110020_南山转债_733219,60,600219_南山铝业,-_6.92,0,0,0%,2012-10-22_0.80618459,2012-10-31
113003_重工转债_783989,80.5015,601989_中国重工,-_6.05,0,0,0%,2012-06-08_0.45930473,2012-06-18
110019_恒丰转债_733356,4.5,600356_恒丰纸业,-_6.88,0,0,0%,2012-03-29_0.4167605664,2012-04-12
110018_国电转债_733795,55,600795_国电电力,-_2.67,0,0,0%,2011-08-25_1.08876067,2011-09-02
110017_中海转债_733026,39.5,600026_中远海能,-_8.7,0,0,0%,2011-08-05_0.32775285,2011-08-12
129031_巨轮转2_072031,3.5,002031_巨轮智能,-_8.09,0,0,0%,2011-07-25_0.421413,2011-08-04
125089_深机转债_070089,20,000089_深圳机场,-_5.66,0,0,0%,2011-07-21_1.340502,2011-08-10
110016_川投转债_733674,21,600674_川投能源,-_17.3,0,0,0%,2011-03-25_0.56076747,2011-03-31
110015_石化转债_733028,230,600028_中国石化,-_9.73,0,0,0%,2011-03-01_0.5915442,2011-03-07
125887_中鼎转债_070887,3,000887_中鼎股份,-_25.31,0,0,0%,2011-02-17_0.22361624,2011-03-01
110013_国投转债_733886,34,600886_国投电力,-_7.29,0,0,0%,2011-01-31_0.23933947,2011-02-15
110012_海运转债_733798,7.2,600798_宁波海运,-_4.58,0,0,0%,2011-01-13_0.21219168,2011-01-20
110011_歌华转债_733037,16,600037_歌华有线,-_15.09,0,0,0%,2010-12-01_0.4762043,2010-12-10
126729_燕京转债_070729,11.3,000729_燕京啤酒,-_21.86,0,0,0%,2010-10-21_0.0761902683,2010-11-03
113002_工行转债_783398,250,601398_工商银行,-_4.2,0,0,0%,2010-09-06_0.82312741,2010-09-10
128233_塔牌转债_072233,6.3,002233_塔牌集团,-_13.31,0,0,0%,2010-09-01_0.221529,2010-09-16
126630_铜陵转债_070630,20,000630_铜陵有色,-_15.68,0,0,0%,2010-07-21_0.57551,2010-08-06
113001_中行转债_783988,400,601988_中国银行,-_4.02,0,0,0%,2010-06-08_1.89149048,2010-06-18
125731_美丰转债_070731,6.5,000731_四川美丰,-_7.36,0,0,0%,2010-06-08_1.1667376,2010-06-25
110009_双良转债_733481,7.2,600481_双良节能,-_21.11,0,0,0%,2010-05-10_0.38672931,2010-05-14
110008_王府转债_733859,8.21,600859_王府井,-_33.56,0,0,0%,2009-10-23_0.13724713,2009-10-30
110007_博汇转债_733966,9.75,600966_博汇纸业,-_10.34,0,0,0%,2009-09-29_0.10594958,2009-10-16
125969_安泰转债_070969,7.5,000969_安泰科技,-_22.3,0,0,0%,2009-09-22_0.17619513,2009-10-12
110006_龙盛转债_733352,12.5,600352_浙江龙盛,-_8.9,0,0,0%,2009-09-18_0.17260478,2009-09-25
110005_西洋转债_733558,2.65,600558_大西洋,-_14.55,0,0,0%,2009-09-09_0.16046928,2009-09-21
110004_厦工转债_733815,6,600815_*ST厦工,-_7.5,0,0,0%,2009-09-03_0.12831172,2009-09-11
126019_09长虹债_733839,30,600839_四川长虹,-_-,0,0,0%,2009-08-06_0.2691616,2009-08-19
126018_08江铜债_733362,68,600362_江西铜业,-_-,0,0,0%,2008-09-26_1.2104992,2008-10-10
110003_新钢转债_733782,27.6,600782_新钢股份,-_8.22,0,0,0%,2008-08-27_0.7864831,2008-09-05
126017_08葛洲债_733068,13.9,600068_葛洲坝,-_-,0,0,0%,2008-07-02_0.25012235,2008-07-11
126016_08宝钢债_733019,100,600019_宝钢股份,-_-,0,0,0%,2008-06-26_0.61040733,2008-07-04
126015_08康美债_733518,9,600518_ST康美,-_-,0,0,0%,2008-05-14_0.58759344,2008-05-26
126014_08国电债_733795,39.95,600795_国电电力,-_-,0,0,0%,2008-05-13_0.51227909,2008-05-22
110002_南山转债_733219,28,600219_南山铝业,-_16.89,0,0,0%,2008-04-24_2.00746423,2008-05-13
125528_柳工转债_070528,8,000528_柳工,-_26.87,0,0,0%,2008-04-24_0.3948258283,2008-05-06
126013_08青啤债_733600,15,600600_青岛啤酒,-_-,0,0,0%,2008-04-09_0.30119216,2008-04-18
110368_五洲转债_733368,5.4,600368_五洲交通,-_10.07,0,0,0%,2008-03-06_0.20140144,2008-03-14
126012_08上港债_733018,24.5,600018_上港集团,-_-,0,0,0%,2008-02-26_0.37946159,2008-03-07
126011_08石化债_733028,300,600028_中国石化,-_-,0,0,0%,2008-02-26_1.3146638,2008-03-04
115003_中兴债1_070063,40,000063_中兴通讯,-_-,0,0,0%,2008-02-05_1.88975433,2008-02-22
126009_08赣粤债_733269,12,600269_赣粤高速,-_-,0,0,0%,2008-02-01_1.56138382,2008-02-28
126010_08中远债_733428,10.5,600428_中远海特,-_-,0,0,0%,2008-02-01_0.84985151,2008-02-26
125572_海马转债_070572,8.2,000572_*ST海马,-_18.33,0,0,0%,2008-01-22_0.4120096696,2008-01-30
126008_08上汽债_733104,63,600104_上汽集团,-_-,0,0,0%,2007-12-25_0.50512098,2008-01-08
110598_大荒转债_733598,15,600598_北大荒,-_14.05,0,0,0%,2007-12-25_0.53437573,2007-12-28
125709_唐钢转债_070709,30,000709_河钢股份,-_20.8,0,0,0%,2007-12-20_1.2342188236,2007-12-28
126007_07日照债_733017,8.8,600017_日照港,-_-,0,0,0%,2007-12-03_0.70535556,2007-12-12
110227_赤化转债_733227,4.5,600227_圣济堂,-_24.93,0,0,0%,2007-10-16_0.15885419,2007-10-23
126006_07深高债_733548,15,600548_深高速,-_-,0,0,0%,2007-10-15_0.29030449,2007-10-30
110971_恒源转债_733971,4,600971_恒源煤电,-_50.88,0,0,0%,2007-09-28_5.31177382,2007-10-12
110567_山鹰转债_733567,4.7,600567_山鹰纸业,-_7.31,0,0,0%,2007-09-11_0.49639122,2007-09-17
110026_中海转债_733026,20,600026_中远海能,-_25.31,0,0,0%,2007-07-06_1.33345287,2007-07-12
